num_rooms,m2,price,zip_code,canton_code,street,city
3.5,87,1750,3600,BE,J. V. Widmannstrasse,Thun
3.0,68,1200,3422,BE,Lerchenweg,Kirchberg BE
4.5,120,1650,4436,BL,Hauptstrasse,Oberdorf BL
2.5,52,1430,6612,TI,Via Circonvallazione,Ascona
3.5,67,1800,5610,AG,Brunnmattstrasse,Wohlen AG
2.5,48,1290,5745,AG,Walterswilerstrasse,Safenwil
3.5,94,1620,5053,AG,Oberfeld,Staffelbach
3.5,86,1700,3296,BE,Spismattweg,Arch
3.5,70,1350,4950,BE,Sonneggstrasse,Huttwil
2.5,65,1380,4658,SO,Josefstrasse,Däniken SO
2.5,81,1300,4710,SO,Sagmattstrasse,Balsthal
3.5,66,1200,9478,SG,Feldgass,Azmoos
4.5,83,1490,9100,AR,Lederbach,Herisau
2.5,52,1400,9475,SG,Gärtli,Sevelen
2.0,44,1490,4127,BL,Hardstrasse,Birsfelden
3.5,59,1570,5504,AG,Kehrgasse,Othmarsingen
5.5,176,2300,4304,BL,Hauptstrasse,Giebenach
3.5,80,1764,5325,AG,Furlängeweg,Leibstadt
2.5,45,1810,8117,ZH,Maurstrasse,Fällanden
2.5,37,1760,8117,ZH,Maurstrasse,Fällanden
2.5,73,1580,5504,AG,Kehrgasse,Othmarsingen
3.5,87,1730,9015,SG,Kunklerstrasse,St. Gallen
3.0,61,1200,9404,SG,Eichenstrasse,Rorschacherberg
2.0,55,1330,9030,SG,In dern Erlen,Abtwil SG
4.5,102,1740,4950,BE,Sonneggstrasse,Huttwil
3.0,61,1230,9404,SG,Sulzbachstrasse,Rorschacherberg
3.5,98,1500,8240,SH,Klosterstieg,Thayngen
2.5,48,1290,5745,AG,Walterswilerstrasse,Safenwil
2.5,45,1150,9100,AR,Gossauerstrasse,Herisau
4.5,70,1420,8750,GL,Kirchstrasse,Glarus
2.5,93,1620,9443,SG,Fuchsgasse,Widnau
4.0,87,1450,8253,TG,Kirchgasse,Diessenhofen
1.5,29,890,9014,SG,Rickenstrasse,St. Gallen
3.0,53,1360,9014,SG,Rickenstrasse,St. Gallen
3.5,71,1700,4658,SO,Josefstrasse,Däniken SO
3.5,81,1590,4934,BE,Lindenweg,Madiswil
4.5,61,1440,9014,SG,Rickenstrasse,St. Gallen
4.5,121,2350,4153,BL,Therwilerstrasse,Reinach BL
3.5,86,1690,8200,SH,Schönbühlstrasse,Schaffhausen
3.5,67,1520,4133,BL,Wartenbergstrasse,Pratteln
3.5,48,1340,9014,SG,Rickenstrasse,St. Gallen
2.5,38,1190,9014,SG,Rickenstrasse,St. Gallen
3.5,77,1750,5234,AG,Erbsletstrasse,Villigen
3.5,48,1290,9014,SG,Rickenstrasse,St. Gallen
3.5,79,1990,8187,ZH,Seerenstrasse,Weiach
2.5,67,1450,6264,LU,Am Rebhang,Pfaffnau
2.5,72,2100,9477,SG,Poststrasse,Trübbach
4.0,73,1450,9000,SG,Zürcherstrasse,St. Gallen
4.5,109,1980,8865,GL,Hauptstrasse,Bilten
4.5,78,1335,9478,SG,Feldgass,Azmoos
3.5,97,1750,5512,AG,Laubisbachstrasse,Wohlenschwil
1.0,80,1250,3380,BE,Vorstadt,Wangen an der Aare
3.5,77,1490,3270,BE,Spinsstrasse,Aarberg
2.5,80,2140,9477,SG,Poststrasse,Trübbach
4.5,104,1950,6264,LU,Am Rebhang,Pfaffnau
3.5,77,1310,3380,BE,Vorstadt,Wangen an der Aare
3.5,72,1550,6020,LU,Eschenstrasse,Emmenbrücke
3.5,72,1630,4542,SO,Erlenweg,Luterbach
3.0,46,1290,4563,SO,Schmiedeweg,Gerlafingen
2.5,51,995,9104,AR,Herisauerstrasse,Waldstatt
2.0,38,1160,9014,SG,Rickenstrasse,St. Gallen
3.0,61,1200,9404,SG,Eichenstrasse,Rorschacherberg
3.5,65,1670,8200,SH,Schönbühlstrasse,Schaffhausen
4.0,76,1380,4600,SO,Aarburgerstrasse,Olten
3.0,69,1370,9000,SG,Buchentalstrasse,St. Gallen
3.5,65,1350,8750,GL,Untere Erlenstrasse,Glarus
4.5,109,2090,9472,SG,Dorfstrasse,Grabs
4.5,126,1690,9100,AR,Gossauerstrasse,Herisau
2.5,80,1350,9010,SG,Kirchlistrasse,St. Gallen
3.5,85,1525,1700,FR,Av. Général-Guisan,Fribourg
2.0,61,1630,8051,ZH,Auhofstrasse,Zürich
2.5,75,1700,6900,TI,Via Giuseppe Motta,Lugano
3.0,52,850,4512,SO,Rosenweg,Bellach
2.5,127,2680,3011,BE,Effingerstrasse,Bern
2.5,70,1150,3534,BE,Moos,Signau
