num_rooms,m2,price,zip_code,canton_code,street,city
5.5,131,2350,8180,ZH,Kantonsschulstr.,Bülach
2.5,53,1170,6517,TI,Via Molinazzo,Arbedo
3.5,80,1810,8805,ZH,Sennhüttenstrasse,Richterswil
5.0,95,2830,1209,GE,Chemin du Champ-Baron,Genève
2.5,53,1240,6500,TI,Via Pratocarasso,Bellinzona
3.5,78,1800,8805,ZH,Sennhüttenstrasse,Richterswil
4.0,112,2475,8408,ZH,Claisstrasse,Winterthur
4.5,90,2100,8805,ZH,Sennhüttenstrasse,Richterswil
2.5,67,1520,4058,BS,Erlenmattstr.,Basel
2.5,67,1520,4058,BS,Erlenmattstr.,Basel
4.5,100,2710,4058,BS,Erlenmattstr.,Basel
4.0,156,2216,6517,TI,Via del Carmagnola,Arbedo
2.5,59,1640,5507,AG,Birnenweg,Mellingen
1.0,13,295,4125,BS,Gotenstr.,Riehen
3.5,94,2685,4133,BL,Hohenrainstr.,Pratteln
2.5,65,1480,8200,SH,Hauentalstrasse,Schaffhausen
2.0,31,1290,4058,BS,Schwarzwaldallee,Basel
3.5,66,1760,4058,BS,Schwarzwaldallee,Basel
3.5,90,2030,4058,BS,Schwarzwaldallee,Basel
2.5,48,1490,4058,BS,Schwarzwaldallee,Basel
2.5,53,1520,4056,BS,Maiengasse,Basel
2.0,51,950,4528,SO,Fliederweg,Zuchwil
2.5,51,1100,3960,VS,Av. Rossfeld,Sierre
4.5,90,1590,8500,TG,General Weber-Strasse,Frauenfeld
4.5,113,2160,5330,AG,Weissensteinweg,Bad Zurzach
2.5,54,1276,9320,TG,Hamelstrasse,Arbon
3.0,78,1450,1870,VS,Av. du Crochetan,Monthey
3.0,68,1400,5415,AG,Schulstrasse,Nussbaumen AG
3.5,110,2088,8833,ZH,Bärenweidstrasse,Samstagern
2.5,54,1310,9008,SG,Langgasse,St. Gallen
3.5,70,1350,4950,BE,Sonneggstrasse,Huttwil
2.5,65,1380,4658,SO,Josefstrasse,Däniken SO
3.5,87,1730,9015,SG,Kunklerstrasse,St. Gallen
2.0,31,830,9000,SG,Teufenerstrasse,St. Gallen
2.0,42,1880,1205,GE,Rue Charles-Humbert,Genève
3.5,84,2050,3011,BE,"Gutenbergstrasse,",Bern
1.0,30,1420,8810,ZH,Seestrasse,Horgen
4.5,140,1660,4704,BE,Schimmelweg,Niederbipp
3.5,75,1650,3097,BE,Kohlenweg,Liebefeld
3.0,70,1300,4562,SO,Moosstrasse,Biberist
2.5,70,1190,1740,FR,champ-didon,Neyruz FR
3.5,87,1780,1756,FR,Route de l'Ecole,Onnens FR
4.5,93,1650,5722,AG,Unterfeldstrasse,Gränichen
3.5,100,1350,4628,SO,Letzirain,Wolfwil
3.5,80,1470,2564,BE,Jensgasse,Bellmund
3.5,97,1940,3110,BE,Erlenauweg,Münsingen
3.5,90,1900,1893,VS,"Ch. des Rottes,",Muraz (Collombey)
1.5,49,1099,9475,SG,Bahnhofstrasse,Sevelen
3.5,104,1950,8155,ZH,Rüchligstrasse,Nassenwil
2.5,51,960,9642,SG,Pozzistrasse,Ebnat-Kappel
3.0,55,1854,1233,GE,Chemin de Saule,Bernex
4.5,80,1390,3400,BE,Kirchbergstrasse,Burgdorf
5.5,145,1900,2400,NE,Rue Auguste-Lambelet,Le Locle
4.5,120,1600,5734,AG,Hauptstrasse,Reinach AG
3.5,91,1870,6287,LU,Ausserbirg,Aesch LU
4.5,85,1790,2564,BE,Jensgasse,Bellmund
3.5,117,1950,3704,BE,Leissigenstrasse,Krattigen
2.5,60,1590,1822,VD,Route de Fontanivent,Chernex
2.0,48,1250,1700,FR,Rue de Morat,Fribourg
3.5,86,2170,3012,BE,Zähringerstrasse,Bern
3.5,50,1495,3714,BE,Ahornstrasse,Frutigen
4.5,125,2020,6252,LU,Stermelstrasse,Dagmersellen
5.5,190,2220,4512,SO,Allmendgasse,Bellach
4.5,119,3352,8057,ZH,Schaffhauserstrasse,Zürich
1.0,104,1390,2900,JU,Rue des tanneurs,Porrentruy
3.5,85,1695,8353,ZH,Ritschbergstrasse,Elgg
3.5,73,1480,4133,BL,"Längistrasse,",Pratteln
2.5,55,1350,3860,BE,Aareschluchtstrasse,Schattenhalb
3.5,80,1670,8954,ZH,Huebwiesenstrasse,Geroldswil
2.0,95,1220,3254,SO,Hauptstrasse,Messen
1.0,40,890,4055,BS,Schlettstadterstrasse,Basel
3.5,70,1990,3052,BE,Aarestrasse,Zollikofen
3.5,87,1510,5637,AG,Oberdorf,Beinwil (Freiamt)
2.0,60,1220,3072,BE,Hüsliweg,Ostermundigen
3.5,85,1340,6512,TI,Contrada Gada,Giubiasco
3.0,62,1295,3048,BE,Löchliweg,Worblaufen
3.0,71,1520,2000,NE,Rue Edmond De Reynier,NeuchÃ¢tel
1.5,38,1010,2000,NE,R. de Champreveyres,NeuchÃ¢tel
2.5,102,1876,4058,BS,Klingental,Basel
3.5,93,1880,4057,BS,Horburgstrasse,Basel
3.0,69,1450,3004,BE,Thormannmätteliweg,Bern
2.5,57,1260,8646,SG,Rösslistrasse,Wagen
3.5,94,1620,5053,AG,Oberfeld,Staffelbach
3.5,86,1700,3296,BE,Spismattweg,Arch
3.0,61,1200,9404,SG,Eichenstrasse,Rorschacherberg
4.5,105,1920,1752,FR,Chemin du Verger,Villars-sur-GlÃ¢ne
3.5,85,1715,7000,GR,Giacomettistrasse,Chur
4.0,98,1970,6003,LU,Militärstrasse,Luzern
5.5,115,2595,3250,BE,Aarbergstrasse,Lyss
3.5,70,1355,3613,BE,Schlehdornweg,Steffisburg
2.5,51,925,2504,BE,Poststrasse,Biel/Bienne
3.0,64,1450,4142,BL,Birseckstrasse,Münchenstein
3.0,71,1530,4057,BS,Andlauerstrasse,Basel
2.0,51,1570,5620,AG,Marktgasse,Bremgarten AG
1.5,42,1600,8105,ZH,Feldstrasse,Regensdorf
1.0,25,1250,8105,ZH,Boutiquehotel Thessoni classic Eichwatt,Regensdorf
3.5,106,2480,8304,ZH,Melchrütistrasse,Wallisellen
2.5,64,1495,9000,SG,Davidstrasse,St. Gallen
1.0,40,1060,2000,NE,R. de Champreveyres,NeuchÃ¢tel
3.5,84,1775,4127,BL,Wartenbergstr.,Birsfelden
4.5,94,1790,4410,BL,Altbrunnenweg,Liestal
4.5,116,1890,3627,BE,Bahnhofstrasse,Heimberg
4.5,110,2090,1744,FR,Route de Chavannes,Chénens
3.5,97,1820,5073,AG,Bachmatt,Gipf-Oberfrick
2.5,68,1120,3380,BE,Städtli,Wangen an der Aare
3.5,88,2950,1110,VD,"Vergers de la Gottaz,",Morges
2.5,70,1500,3132,BE,Kirchmattstrasse,Riggisberg
4.5,110,1890,4053,BS,Dornacherstrasse,Basel
2.0,55,1100,3800,BE,"Seidenfadenstrasse,",Unterseen
2.5,58,1370,5703,AG,Breitenweg,Seon
3.0,61,1160,9400,SG,Schurtannenweg,Rorschach
3.0,61,1160,9404,SG,Schurtannenweg,Rorschacherberg
3.5,122,1835,9240,SG,"Gruebenstrasse,",Uzwil
3.5,82,1295,9404,SG,Wilenstrasse,Rorschacherberg
3.5,122,1835,9244,SG,Gruebenstrasse,Niederuzwil
3.5,149,6200,8806,SZ,Seestrasse,Bäch SZ
3.5,122,1826,3600,BE,Panoramastrasse,Thun
4.5,110,1890,6280,LU,Rosengartenstr.,Hochdorf
3.5,88,1545,6280,LU,Rosengartenstrasse,Hochdorf
1.5,47,1205,5734,AG,Alte Strasse,Reinach AG
4.0,112,2025,2013,NE,Chemin des Saules,Colombier NE
1.0,30,730,2520,BE,Avenue des Collonges,La Neuveville
2.5,66,1465,6900,TI,Via Maggio,Lugano
2.5,66,1580,1630,FR,Palud,Bulle
4.5,154,2490,8500,TG,Auenstrasse,Frauenfeld
2.0,56,920,2300,NE,Rue de la Croix-Fédérale,La Chaux-de-Fonds
1.0,32,875,2000,NE,Rue du Chasselas,NeuchÃ¢tel
3.5,111,1715,6430,SZ,Schmiedgasse,Schwyz
5.0,162,2490,3322,BE,Holzgasse,Urtenen-Schönbühl
3.5,85,1700,6423,SZ,Bahnhofstrasse,Seewen SZ
4.5,95,2520,1030,VD,Route d'Eguechaudens,Bussigny
3.5,76,2355,1022,VD,Allée des Cèdres,Chavannes-près-Renens
5.5,122,2080,1752,FR,Chemin du Verger,Villars-sur-GlÃ¢ne
3.5,76,1480,1530,VD,Les Sorbiers,Payerne
3.0,70,1465,8604,ZH,Ifangstrasse,Volketswil
3.5,73,1330,9000,SG,Linsebühlstrasse,St. Gallen
5.5,144,2360,9000,SG,Falkensteinstrasse,St. Gallen
2.5,57,1400,9200,SG,Jägerstrasse,Gossau SG
2.0,62,1255,3006,BE,Ankerstrasse,Bern
4.5,91,1500,4900,BE,Lagerweg,Langenthal
5.5,109,1890,2503,BE,Brüggstrasse,Biel/Bienne
4.5,96,1810,2504,BE,Bürenstrasse,Biel/Bienne
3.5,70,1390,3613,BE,Schlehdornweg,Steffisburg
16.0,16,270,4103,BL,Gustackerstrasse,Bottmingen
4.5,135,2070,4600,SO,Altmattweg,Olten
3.5,80,1490,3250,BE,Steinweg,Lyss
2.5,71,1550,3015,BE,Weltpoststrasse,Bern
2.5,55,1090,2503,BE,Friedweg,Biel/Bienne
4.0,71,1610,8610,ZH,Burgstrasse,Uster
2.5,80,2390,8126,ZH,Ankenbüel,Zumikon
3.0,79,1570,5417,AG,Rosengartenweg,Untersiggenthal
3.0,54,1550,8046,ZH,Regulastrasse,Zürich
3.5,70,1210,5242,AG,Wyde,Birr
3.0,63,1783,8051,ZH,Blauäcker,Zürich
2.0,53,1686,8051,ZH,Blauäcker,Zürich
5.5,110,1975,8606,ZH,Am Pfisterhölzli,Greifensee
4.5,120,1990,8200,SH,Felsenaustrasse,Schaffhausen
2.0,47,900,9230,SG,Wisentalweg,Flawil
3.0,61,1050,8570,TG,Amriswilerstrasse,Weinfelden
1.5,38,1120,1052,VD,Chemin du Rionzi,Le Mont-sur-Lausanne
4.5,105,1835,2017,NE,Passage Blaise Cendrars,Boudry
5.5,140,2380,2017,NE,Passage Blaise Cendrars,Boudry
1.0,32,845,2000,NE,Rue Frédéric-Carl-de-Marval,NeuchÃ¢tel
5.5,119,2760,1066,VD,Le Grand-Chemin,Epalinges
1.0,39,950,2000,NE,Place Numa-Droz,NeuchÃ¢tel
